"univID","stl","mds","mdf","maf","lps","ect","tpg","mav","mcv","mpt","cle","pmx","ds1","ds2","lpt","ds3","lps.sc","ect.sc","tpg.sc","cle.sc","pmx.sc","ds1.sc","ds2.sc","lpt.sc","ds3.sc"
"Fos.K.14.067",45.05,1,9,8,0,7.26,7.33,NA,19,5,7.19,2.56,0,0,2.21,1.85,0,8.39972750782569,9.57813766714198,8.43364285960874,3.04028837363558,0,0,2.57340591857766,2.04846178975987
"Fos.K.14.070",50.94,1,9,9,0,7.48,0,14,19,6,7.88,NA,0,0,2.12,1.69,0,7.64957787064905,0,8.07565965663892,NA,0,0,2.18213064687288,1.7131479593106
"Fos.K.14.071",59.79,1,9,8,4.95,8.86,12.49,14,19,5,9.16,3.12,0,0,2.14,1.51,4.50225309366838,7.71439751035934,9.65856851411868,7.872393194323,2.65002160516409,0,0,1.8755092140532,1.36424303798991
"Fos.K.14.074",63.91,1,10,9,0,7.99,8.88,14,19,4,NA,1.93,0,0,NA,1.65,0,6.50655125606482,6.06917692593508,NA,1.51488838781602,0,0,NA,1.42102592283871
"Fos.K.14.078",63.02,1,10,9,4.51,9.29,9.78,14,20,5,9.51,2.39,0,0,3.5,2.05,3.9449429651987,7.67248934657149,6.86029426876625,7.71410002078549,1.90736405236178,0,0,2.9096114547617,1.78339912337736
"Fos.K.14.079",36.13,0,11,9,0,5.77,5.07,14,18,4,6,2.1,0,0,NA,0,0,8.33185400456016,9.9718554133339,8.9686794900113,3.23872203558923,0,0,NA,0
"Fos.K.14.083",43.93,1,9,8,3.89,6.08,7.61,14,19,6,6.55,2.19,0,0,1.85,1.37,4.44773236926106,7.21460530621913,10.4189611225876,7.89843479598069,2.6795795289957,0,0,2.20934608369985,1.54466279768172
"Fos.K.14.084",66.64,1,10,8,0,10.17,NA,14,20,6,10.11,3.58,0,0,1.99,2.18,0,7.9411070787135,NA,7.7126508533415,2.67419888455822,0,0,1.56411742378358,1.82188168870604
"Fos.K.14.087",63.75,1,10,8,4.42,8.05,8.3,14,19,5,8,2.76,0,0,1.58,1.8,3.83330900014198,6.57193481944772,5.69918065188908,6.40765256928914,2.17280914107586,0,0,1.29838308573779,1.55300502136528
"Fos.K.14.095",69.75,1,9,8,0,10.16,9.2,14,19,5,NA,3.61,0,0,2.73,2.38,0,7.57808967944404,5.34720489614649,NA,2.55481525173674,0,0,2.04971210111246,1.92488834248434
"Fos.K.14.096",35.53,1,11,9,0,4.89,1.08,NA,20,5,NA,1.11,0,0,1.54,1.63,0,7.1808954014899,2.19113929737854,NA,1.74618343581387,0,0,2.27581121184568,2.14058296333006
"Fos.K.14.097",37.56,1,9,8,0,5.54,1.32,14,19,5,5.46,1.8,0,0,1.59,1.67,0,7.69388657418794,2.41602033863652,7.82073143312329,2.65133032210577,0,0,2.22222824484597,2.10727210877987
"Fos.K.14.098",54.14,1,9,8,0,8.03,1.91,14,19,6,8.28,2.31,0,0,1.96,1.97,0,7.72464946853661,1.77532466164033,7.9361455922387,2.20677809374601,0,0,1.89775007886292,1.9114392001835
"Fos.K.14.103",54.53,1,10,8,5.74,8.11,7.83,14,20,5,7.91,3.26,0,0,1.53,1.76,5.59012902908289,7.7455719488269,7.18173125728331,7.5219537672873,3.08796802537919,0,0,1.47077093949884,1.69889621162564
"Fos.K.14.107",64.5,2,10,8,0,8.17,2.41,14,19,5,8.75,3.53,0,3.74,2.53,1.68,0,6.59201432428517,1.61933891134896,6.91888049248543,2.74076596782431,0,3.14140714547429,2.05478816419886,1.43733977013667
"Fos.K.14.108",48.08,1,8,7,0,NA,2.17,14,19,5,6.86,2.7,0,0,1.79,1.81,0,NA,2.51331040366084,7.49115499610155,2.96866518652947,0,0,1.95249412975073,1.91258114955619
"Fos.K.14.116",43.33,1,9,8,0,7.4,2.35,14,18,5,NA,2.23,0,0,2.75,1.66,0,8.90304999006934,3.30047292658109,NA,2.77332099904652,0,0,3.32981723765566,1.89022329903622
"Fos.K.14.119",59.2,1,9,8,0,7.1,2.16,14,19,6,7.59,2.26,0,0,1.94,1.7,0,6.24384241221724,1.7013189281758,6.59455176085961,1.94224267403065,0,0,1.7172388720251,1.54688725150021
"Fos.K.14.120",51.09,1,10,8,5.2,7.7,7.21,14,19,5,NA,2.72,0,0,2.34,2.25,5.31519169719693,7.85134689208083,7.46188974314871,NA,2.78315184732328,0,0,2.40147920391941,2.27600415191415
"Fos.K.14.132",41.62,2,9,9,0,6.14,4.3,13,19,5,6.62,1.81,0,3.73,1.99,1.7,0,7.69195919870262,6.5070448991657,8.47098158855156,2.36092265930596,0,4.43918655557918,2.50896856441223,1.99259936666261
"Fos.K.14.134",58.25,1,9,8,0,7.86,5.95,14,19,5,7.92,2.76,0,0,2.82,1.17,0,7.02541525244305,4.82913623486746,7.00468077476837,2.41782110964947,0,0,2.53706221738398,1.07707114021589
"Fos.K.14.135",67.7,1,10,8,0,9.94,8.3,14,18,6,9.77,3.93,0,0,2.59,1.85,0,7.63947385478999,5.09831809985092,7.32514983140497,2.8812901627595,0,0,2.00371420622281,1.52865783777242
"Fos.K.14.138",42.66,1,9,9,3.7,NA,5.42,14,20,7,NA,1.87,0,0,1.81,1.76,4.32361902854607,NA,7.83519992964146,NA,2.36892580240938,0,0,2.22618046390816,2.0266610593517
"Fos.K.14.147",48.29,1,9,8,0,7.99,1.91,14,19,5,7.73,2.31,2.41,0,1.84,0,0,8.62151841224492,2.19438099543943,8.40087421748131,2.52678340945121,2.51708805456879,0,1.99827125385787,0
"Fos.K.14.150",41.91,1,9,8,0,5.99,1.47,14,19,5,NA,1.74,0,0,1.32,1.67,0,7.45189835450205,2.1960592587444,NA,2.25103025955745,0,0,1.65268008167675,1.94769303117328
"Fos.K.14.155",52.52,2,10,9,0,8.16,1.92,14,19,6,7.88,2.28,0,3.56,2.15,1.54,0,8.09288625737187,1.88797631420661,7.80911949780251,2.25790419953642,0,3.52115631781078,2.14617986326234,1.52720022404412
"Fos.K.14.157",60.98,1,10,9,0,9.91,2.7,14,19,6,10.68,3.69,0,0,2.52,2.08,0,8.45953364138721,2.01303991368429,8.98211050880215,3.06186225551707,0,0,2.16527920408718,1.85279620633257
"Fos.K.14.158",58.08,1,9,8,0,7.44,1.88,14,19,5,7.82,2.7,0,0,2.5,1.54,0,6.66955943840853,1.53413193272717,6.9384841875761,2.37346043864451,0,0,2.25577751561803,1.42066406368486
"Fos.K.14.163",55.26,1,9,8,0,7.54,5.19,14,20,5,7.42,2.22,0,0,1.98,1.43,0,7.10565087317925,4.64442043370474,6.95364166700037,2.06999298860666,0,0,1.87810995727446,1.36722494595822
"Fos.K.14.164",46.35,2,11,9,4.5,7.29,8.18,NA,20,6,7.32,2.63,0,3.83,1.81,1.82,4.94442072438996,8.19687374121411,10.1398989484126,8.32189530011297,3.0199493119342,0,4.18415285428971,2.04829135100667,1.97446368340813
"Fos.K.14.166",47.07,1,9,8,0,8.57,1.22,14,19,6,8.14,2.33,0,0,1.52,2.02,0,9.48808150839992,1.46971679790819,9.09871264675486,2.62707303570885,0,0,1.69369933880939,2.16729700367578
"Fos.K.14.167",56.49,1,8,7,4.43,7.52,8.37,14,19,5,7.89,NA,0,0,2.26,1.75,4.20271861939441,6.9318429903197,7.19070194218799,7.21739496069204,NA,0,0,2.09684576099113,1.64691650288448
"Fos.K.14.171",61.08,1,8,7,4.62,7.92,8.17,14,19,5,8.68,2,0,0,2.6,1.72,4.13604811041166,6.74968169702804,6.07284073280268,7.28693637975361,1.65632890684143,0,0,2.23034652309672,1.53031697750179
"Fos.K.14.172",53.59,1,9,8,4.75,NA,9.49,14,19,5,NA,3.22,0,0,1.94,1.8,4.68607140739525,NA,8.98936159671559,NA,3.11353642208637,0,0,1.89773851423731,1.7593548240519
"Fos.K.14.175",60.7,2,8,8,0,7.69,9.39,14,19,6,NA,2.66,0,3.7,1.99,1.89,0,6.59487239419324,7.06087226669421,NA,2.21925825642193,0,3.26160517748569,1.71780128025205,1.68912747922533
"Fos.K.13.229",61.76,2,10,8,0,9.55,NA,14,20,6,9.76,3.72,0,2.96,1.9,1.32,0,8.04882768801271,NA,8.09453556134529,3.04064356462925,0,2.57359763106195,1.61185394784657,1.16512258595812
"Fos.K.13.234",60.58,1,9,8,0,9.79,9.62,14,19,6,9.09,3.37,0,0,2.13,2.17,0,8.41251500164768,7.26040015351126,7.70036752679153,2.81821322763782,0,0,1.84230785887207,1.94212842918448
"Fos.K.13.235",57.11,1,11,10,5.15,7.1,8.95,14,19,5,7.8,2.18,0,0,1.94,2.01,4.84635330304731,6.47333877411913,7.53500219275958,7.050002868365,1.95495427797928,0,0,1.78033120293302,1.87682146350129
"Fos.K.13.236",69.56,0,10,9,NA,11.1,NA,14,19,5,10.78,3.71,0,0,2.3,0,NA,8.30192343410801,NA,7.84525889634596,2.63408068995209,0,0,1.73159884586433,0
"Fos.K.13.237",53.38,1,10,9,0,8.31,8.5,14,19,5,8.36,2.72,0,0,1.42,1.62,0,8.10830800940002,8.1103892733256,8.1382611138868,2.64232535050597,0,0,1.39455224040167,1.58789327436786
"Fos.K.13.238",66.99,1,10,9,0,10.83,7.2,14,20,5,10.51,3.23,0,0,2.9,2.14,0,8.41208829789217,4.50989866849263,7.97178466250941,2.397834047579,0,0,2.2674121100548,1.78173299323044
"Fos.K.13.239",60.32,1,10,8,5.53,10.29,11.47,14,19,5,10.64,3.05,0,0,2.08,2.29,4.99694903291934,8.88043973089423,8.72590845780622,9.05610849640354,2.5636328346914,0,0,1.80684591302695,2.05587170945614
"Fos.K.13.240",61.53,2,9,9,0,10.61,2.89,14,20,6,9.67,3.79,0,3.26,1.7,1.87,0,8.97577494256541,2.11914040502909,8.05283862548267,3.11157771649462,0,2.84286001409736,1.44759696874882,1.65502177080285
"Fos.K.13.241",64.69,0,9,8,5.99,8.27,10.05,14,19,5,8.86,2.43,0,0,1.73,0,5.13877810595599,6.65301783439246,6.71613417558329,6.98325496297407,1.88014247926991,0,0,1.400910034266,0
"Fos.K.13.242",73.5,0,10,8,5.46,10.5,11.25,14,19,5,10.29,4.05,0,0,1.96,0,4.2605654920329,7.43044451053474,5.93393602922599,7.04876384369836,2.6938572017939,0,0,1.39622350951439,0
"Fos.K.13.244",61.01,1,10,9,6.23,9.2,10.32,14,19,5,NA,2.95,0,0,1.83,2.11,5.58214740842845,7.8495737621399,7.68727568223446,NA,2.44640493843704,0,0,1.57162895075703,1.87885504229186
