"univID","stl","ips","mds","mdf","maf","lps","ips.prop","ect","tpg","mav","mcv","mpt","cle","pmx","ds1","ds2","lpt","ds3"
"Fos.K.05.131",50.12,2,2,9,NA,0,0.666666666666667,6.45,5.56,14,20,NA,6.6,1.82,NA,NA,2.4,1.91
"Fos.K.05.145",41.41,1,1,9,8,0,0.333333333333333,6.71,2.36,NA,19,5,NA,1.69,0,0,1.11,1.55
"Fos.K.05.147",55.26,1,1,10,10,0,0.333333333333333,8.36,2.59,14,20,5,8.94,2.73,0,0,1.6,1.48
"Fos.K.05.149",66.42,1.2,1,11,10,0,0.4,10.18,2.88,NA,19,NA,10.29,NA,0,0,1.98,1.47
"Fos.K.05.150",55.14,0,1,11,10,0,0,7.38,0,NA,19,5,7.4,NA,0,0,1.26,1.97
"Fos.K.05.151",61.43,NA,3,10,9,NA,NA,4.85,NA,14,20,6,NA,NA,2.55,2.8,0.82,1.15
"Fos.K.05.153",50.67,1,1,9,8,0,0.333333333333333,8.02,2.17,14,19,6,NA,2.02,0,0,2.36,1.16
"Fos.K.05.154",54.23,NA,1,10,9,NA,NA,NA,NA,NA,20,6,NA,2.84,0,0,1.88,1.72
"Fos.K.05.157",57.87,1,1,10,8,0,0.333333333333333,8.29,2.28,14,19,6,9.64,NA,0,0,2.07,1.61
"Fos.K.05.159",63.61,1,1,9,8,0,0.333333333333333,8.7,2.37,14,19,5,NA,3.18,0,0,NA,1.64
"Fos.K.05.167",60.5,2,2,10,9,0,0.666666666666667,10.86,7.69,14,19,5,11.05,NA,0,4.47,2.67,2.04
"Fos.K.05.168",57.44,1,2,9,NA,0,0.333333333333333,8.93,3.05,NA,19,NA,9.06,3.32,0,2.98,1.59,1.68
"Fos.K.05.036",42.18,NA,2,11,10,NA,NA,6.56,NA,14,19,6,NA,2.1,0,3.86,1.35,1.75
"Fos.K.05.087",78.39,1,1,10,8,0,0.333333333333333,9.77,2.59,NA,19,5,10.71,NA,0,0,1.79,1.8
