"","index","prop","time","stl"
"479",479,0.34,11,58.96
"480",480,0.78,11,61.73
"481",481,0.29,11,54.65
"482",482,0.13,11,49.35019
"483",483,0.18,11,54.5
"484",484,0.97,11,54.21
"485",485,0.21,11,60.61
"486",486,0.12,11,55.29
"487",487,0.95,11,43.43
"488",488,0.39,11,45.08
"489",489,0.8,11,42.54
"490",490,0.8,11,40.64
"491",491,0.6,11,58.15
"492",492,0.84,11,41.48
"493",493,0.07,11,58.15
"494",494,0.96,11,46.38
"495",495,0.82,11,65.32
"496",496,0.14,11,43.8
"497",497,0.47,11,60.51
"498",498,0.72,11,64.07
"499",499,0.37,11,63.2
"500",500,0.08,11,64.33
"501",501,0.41,11,41.78
"502",502,0.26,11,66.18
"503",503,0.67,11,46.4
"504",504,0.79,11,50.37
"505",505,0.02,12,57.84
"506",506,0.45,12,42.41
"507",507,0.98,12,39.04
"508",508,0.96,12,32.27
"509",509,0.25,12,40.62
"510",510,0.69,12,42.57
"511",511,0.86,12,42.57
"512",512,0.51,12,49.24
"513",513,0.33,12,48.08
"514",514,0.36,12,60.55
"515",515,0.95,12,47.38
"516",516,0.57,12,37.19
"517",517,0.47,12,46.71
"518",518,0.29,12,60.89
"519",519,0.79,12,37.35
"520",520,0.7,12,57.31
"521",521,0.33,12,43.59
"522",522,0.57,12,45.56
"523",523,0.24,12,64.27
"524",524,0.09,12,63.02
"525",525,0.28,12,62.25
"526",526,0,12,64.81
"527",527,0.73,13,61.53
"528",528,0.46,13,42.02
"529",529,0.48,13,39.44
"530",530,0.92,13,39.77
"531",531,0.23,13,69.69
"532",532,0.94,13,37.32
"533",533,0.73,13,36.99
"534",534,0.13,13,63.27
"535",535,0.83,13,46.2
"536",536,0.26,13,57.91
"537",537,0.41,13,43.42
"538",538,0.74,13,39.87
"539",539,0,13,53.65
"540",540,0.73,13,43.34
"541",541,0.85,13,36.85
"542",542,0.56,13,38.58
"543",543,0.22,13,63.83
"544",544,0.23,13,39.81
"545",545,0.92,13,43.59
"546",546,0.1,13,66.96
"547",547,0.89,13,45.78
"548",548,0.07,13,69.03
"549",549,0.92,13,32.41
"550",550,0.55,13,48.79
"551",551,0.62,13,38.32
"552",552,0.36,13,38.59
"553",553,0.75,13,28.77
"554",554,0.2,13,60.61
"555",555,0.01,13,51.8
"556",556,0.11,13,55.58
"557",557,0.56,13,40.67
"558",558,0.11,13,61.88
"559",559,0.36,13,42.95
"560",560,0.93,13,38
"561",561,0.39,13,44.65
"562",562,0.21,13,63.41
"563",563,0.23,13,64.78
"564",564,0.94,13,48.4
"565",565,0.67,13,66.13
"566",566,0.09,13,55.7
"567",567,0.55,13,40.71
"568",568,1,14,25.73
"569",569,0.19,14,60.44
"570",570,0.03,14,58.29
"571",571,0.06,14,68.28
"572",572,0.52,14,45.29
"573",573,0.46,14,60.43
"574",574,0.01,14,41.42
"575",575,0.42,14,50.21
"576",576,0.47,14,38.17
"577",577,0.07,14,64.82
"578",578,0.63,14,44.81
"579",579,0.44,14,46.93
"580",580,0.02,14,38.56
"581",581,0.56,14,60.23
"582",582,0.84,14,56.8
"583",583,0.07,14,56.27
"584",584,0.82,14,43.89
"585",585,0.71,14,39.78
"586",586,0.08,14,44.11
"587",587,0.96,14,40.32
"588",588,0.02,14,66.69
"589",589,0.19,14,53.22
"590",590,0.15,14,67.26
"591",591,0.15,14,40.71
"592",592,0.02,14,45.38
"593",593,0.88,14,35.74
"594",594,0,14,61.63
"595",595,0.2,14,70.24
"596",596,0.18,14,48.41
"597",597,0.18,14,50.32
"598",598,0.89,14,42.11
"599",599,0.9,14,50.08
"600",600,0.15,14,38.48
"601",601,0.99,14,24.09
"602",602,0.55,14,40.12
"603",603,0.07,14,62.32
"604",604,0.48,14,46.91
"605",605,0.6,14,46.58
"606",606,0.56,14,44.03
"607",607,0.58,14,50.3
"608",608,0.01,14,58.79
"609",609,0.01,14,68.46
"610",610,0.02,14,80.32
"611",611,0.38,15,50.83
"612",612,0.48,15,41.66
"613",613,0.19,15,35.28
"614",614,0.35,15,54.38
"615",615,0.58,15,28.81
"616",616,0.97,15,40.58
"617",617,0.59,15,53.97
"618",618,0.19,15,43.36
"619",619,0.1,15,49.75
"620",620,0.05,15,60.85
"621",621,1,15,25.7
"622",622,0.19,15,59.76
"623",623,0.37,15,56.76
"624",624,0.72,15,49.35
"625",625,0.29,15,62.55
"626",626,0.48,15,43.43
"627",627,0.06,15,39.34
"628",628,0.03,15,64.58
"629",629,0.53,15,28.79
"630",630,0.15,15,24.77
"631",631,0.24,15,50.18
"632",632,0.06,15,55.02
"633",633,0.59,15,38.06
"634",634,0.67,15,44.26
"635",635,0.86,15,43.76
"636",636,0.01,15,53.56
"637",637,0.15,15,40.23
"638",638,0.05,15,62.8
"639",639,0.01,15,66.76
"640",640,0.1,15,59.62
"641",641,0.07,15,73.47
"642",642,0.73,15,45.56
"643",643,0.23,15,65.66
"644",644,0.31,15,43.02
"645",645,0.65,15,50.02
"646",646,0.13,15,67.74
"647",647,0.07,15,53.41
"648",648,0.7,15,41.53
"649",649,0.72,15,37.43
"650",650,0.23,15,22.73
"651",651,0.72,15,25.95
"652",652,0.64,15,50.87
"653",653,0.8,15,41.97
"654",654,0.24,15,30.97
"655",655,0.06,15,68.75
"656",656,0.22,15,57.55
"657",657,0.62,16,46.77
"658",658,0.7,16,47.82
"659",659,0.67,16,43.99
"660",660,0.84,16,38.12
"661",661,0.55,16,53.5
"662",662,0.7,16,49.6
"663",663,0.09,16,63.99
"664",664,0.6,16,47.95
"665",665,0.27,16,62.86
"666",666,0.14,16,59.48
"667",667,0.24,16,57.21
"668",668,0.07,16,68.18
"669",669,0.18,16,71.52
"670",670,0.07,16,58.13
"671",671,0.2,16,55.3
"672",672,0.38,16,43.08
"673",673,0.18,16,42.56
"674",674,0.76,16,49.49
"675",675,0,16,58.45
"676",676,0.72,16,44.93
"677",677,0.39,16,48.89
"678",678,0.11,16,51.88
"679",679,0.81,16,46.73
"680",680,0.22,16,74.44
"681",681,0.42,16,59.43
"682",682,0.01,16,59.54
"683",683,1,16,50.12
"684",684,0.78,16,41.41
"685",685,0.04,16,55.26
"686",686,0.01,16,66.42
"687",687,0.13,16,55.14
"688",688,0.21,16,61.43
"689",689,0.79,16,50.67
"690",690,0.14,16,54.23
"691",691,0.08,16,57.87
"692",692,0.25,16,63.61
"693",693,0.54,16,60.5
"694",694,0.6,16,57.44
"695",695,0.68,16,42.18
"696",696,0.07,16,78.39
"697",697,0.01,16,74.57
"698",698,0.19,16,59.97
"699",699,0.96,16,49.35
"700",700,0.05,16,58.18
"701",701,0.13,16,56.67
"702",702,0.22,16,65.43
"703",703,0.02,16,51.85
"704",704,0,17,49.86
"705",705,0.6,17,37.44
"706",706,0.33,17,42.04
"707",707,0.17,17,54.66
"708",708,0.23,17,38.77
"709",709,0.62,17,32.56
"710",710,0.42,17,64.44
"711",711,0.01,17,75.16
"712",712,0.41,17,35.87
"713",713,0.38,17,40.63
"714",714,0.82,17,51.81
"715",715,0.57,17,33.02
"716",716,0.19,17,31.14
"717",717,0.46,17,48.5
"718",718,0.64,17,38.78
"719",719,0.51,17,36.42
"720",720,0.24,17,41.56
"721",721,0.56,17,34.09
"722",722,0.47,17,41.3
"723",723,1,17,40.32
"724",724,0.59,17,30.47
"725",725,0.48,17,38.03
"726",726,0.22,17,56.92
"727",727,0.5,17,50.11
"728",728,0.79,17,42.37
"729",729,0.9,17,40.13
"730",730,0.29,17,51.05
"731",731,0.93,17,43.52
"732",732,0.51,17,38.13
"733",733,0.19,17,40.59
"734",734,0.94,17,30.95
"735",735,0.73,17,25.36
"736",736,0.76,17,38.08
"737",737,0.23,17,38.71
"738",738,0.19,17,43.55
"739",739,0.59,17,46.54
"740",740,0.25,17,42.41
"741",741,0.53,17,33.77
"742",742,0.92,17,46.5
"743",743,0.83,17,36.05
"744",744,0.87,17,41.45
"745",745,0.75,17,39.05
"746",746,0.69,17,34.76
"747",747,0.88,17,42.07
"748",748,0.83,17,45.6
"749",749,0.54,17,34.38
"750",750,0.49,17,44.48
"751",751,0.13,17,45.8
"752",752,0.5,17,38.18
"753",753,0.19,17,40.44
"754",754,0.5,17,46.42
"755",755,0.2,17,45.6
"756",756,0.91,17,41.36
"757",757,0.55,17,41.89
"758",758,0.89,17,45.89
"759",759,0.24,17,39.65
"760",760,0.11,18,59.85
"761",761,0.56,18,56.05
"762",762,0.26,18,54.92
"763",763,0.51,18,47.41
"764",764,0.66,18,36.16
"765",765,0.38,18,44.78
"766",766,0.74,18,47.77
"767",767,0.19,18,65
"768",768,0.2,18,45.96
"769",769,0.48,18,47.07
"770",770,0.25,18,45.57
"771",771,0.43,18,39.93
"772",772,0.1,18,61.47
"773",773,0.58,18,37.47
"774",774,0.87,18,40.7
"775",775,0.05,18,51.6
"776",776,0.6,18,43.07
"777",777,0.22,18,46.93
"778",778,0.41,18,38.57
"779",779,0.09,18,52.12
"780",780,0.37,18,47.8
"781",781,0.86,18,31.4
"782",782,0.89,18,44.8
"783",783,0.14,18,59.62
"784",784,0.15,18,40.01
"785",785,0.14,18,39.62
"786",786,0.29,18,40.59
"787",787,0.82,18,35.76
"788",788,0.25,18,41.95
"789",789,0.28,18,59.28
"790",790,0.11,18,49.39
"791",791,0.6,18,43.13
"792",792,0.23,18,48.99
"793",793,0.61,18,48.84
"794",794,0.06,18,48.51
"795",795,0.15,18,55.94
"796",796,0.14,18,55.26
"797",797,0.96,18,53.3
"798",798,0.28,18,37.22
"799",799,0.31,18,39.72
"800",800,0.26,18,53.29
"801",801,0.37,18,49.78
"802",802,0.43,18,46.84
"803",803,0.13,18,72.1
"804",804,0.2,18,59.76
"805",805,0.18,18,53.59
"806",806,0.74,18,48.27
"807",807,0.07,18,75.41
"808",808,0.14,18,72.43
"809",809,0.18,18,42.56
"810",810,0.47,18,56.91
"811",811,0.61,18,47.89
"812",812,0.48,18,36.82
"813",813,0.58,18,36.89
"814",814,0.83,18,44.52
