univID,stl,ips,mds,mdf,maf,lps,ips.prop,ect,tpg,mav,mcv,mpt,cle,pmx,ds1,ds2,lpt,ds3,lps.sc,ect.sc,tpg.sc,cle.sc,pmx.sc,ds1.sc,ds2.sc,lpt.sc,ds3.sc
Fos.K.12.241,55.28,3,0,10,8,3.92,1,7.69,8.33,14,20,5,8.09,2.88,NA,NA,1.39,NA,3.862807636,7.529387938,8.151841344,7.915038081,2.805055751,NA,NA,1.368341447,NA
Fos.K.12.245,47.19,3,1,9,8,4.04,1,6.77,7.08,14,19,5,6.41,NA,0,0,1.74,1.53,4.418553071,7.69930408,8.077048985,7.323604247,NA,0,0,1.914754586,1.62132741
Fos.K.12.249,47.09,0,2,9,9,0,0,6.85,0,14,18,5,7.15,2.37,0,3.15,2.07,1.47,0,7.80594002,0,8.18608013,2.790109215,0,3.329406635,2.281302576,1.559156088
Fos.K.12.250,65.33,1,1,10,9,0,0.333333333,11.86,3.27,14,20,5,NA,3.72,0,0,1.98,1.7,0,9.914421673,2.721702288,NA,2.973949828,0,0,1.732871698,1.568100801
Fos.K.12.254,43.8,3,1,9,8,3.13,1,6.76,6.99,14,19,5,NA,2.27,0,0,2.03,1.45,3.595647374,8.249877937,8.57193201,NA,2.911270835,0,0,2.354266721,1.586196222
Fos.K.12.256,58.12,1,1,9,8,0,0.333333333,7.68,2.25,14,19,5,7.99,2.58,0,0,2.13,2.13,0,7.17141519,2.097507475,7.442570203,2.36836207,0,0,2.024136708,2.065225067
Fos.K.12.257,49.14,1,1,8,7,0,0.333333333,7.37,2.59,14,19,5,7.93,2.65,0,0,1.85,1.3,0,8.066572439,2.841016977,8.70766636,2.966479818,0,0,1.978581422,1.35400996
Fos.K.12.263,69.51,1,1,9,8,0,0.333333333,10.74,2.33,15,18,6,10.11,4.01,0,0,2.47,1.77,0,8.466387103,1.826168808,7.902035333,2.979164018,0,0,2.069348207,1.590045726
Fos.K.12.264,56.48,1,1,10,9,0,0.333333333,8.5,1.87,14,20,6,NA,3.08,0,0,2.66,1.85,0,8.155042601,1.792305154,NA,2.924652441,0,0,2.57925599,1.815774033
Fos.K.12.265,52.7,1,1,9,8,0,0.333333333,8.22,1.56,14,19,5,NA,2.5,0,0,1.78,1.61,0,8.420703433,1.599026206,NA,2.576483177,0,0,1.81223671,1.627601273
Fos.K.12.266,51.73,2,0,10,9,0,0.666666667,8.94,6.81,14,19,5,9.19,3.03,NA,NA,1.9,NA,0,9.320713009,7.107200683,9.595704575,3.192034994,NA,NA,1.959879067,NA
Fos.K.12.267,43.65,2,1,9,8,0,0.666666667,6.51,6.37,14,19,5,6.75,2.68,0,0,1.92,1.79,0,7.970612693,7.837636275,8.32469287,3.451062153,0,0,2.232080546,1.960999244
Fos.K.12.271,56.77,1.2,1,9,8,0,0.4,8.16,4.57,14,20,6,NA,2.79,0,0,1.94,1.81,0,7.790990055,4.358435401,NA,2.633288327,0,0,1.874340477,1.772637505
Fos.K.12.285,70.21,1,0,9,8,0,0.333333333,10.03,2.57,NA,19,5,10.99,3.7,NA,NA,2.72,NA,0,7.83207206,1.994803007,8.505888235,2.716485808,NA,NA,2.262775757,NA
Fos.K.12.287,48.9,3,1,9,8,4.04,1,7.9,8.11,14,20,6,NA,2.99,0,0,1.78,1.74,4.316119502,8.686819575,8.938320955,NA,3.366513036,0,0,1.910290068,1.816078867
Fos.K.12.290,50.97,1,1,9,8,0,0.333333333,7.28,2.87,14,19,4,7.4,NA,0,0,NA,1.79,0,7.697076679,3.038532628,7.839603716,NA,0,0,NA,1.83551652
Fos.K.12.291,54.36,1,1,9,8,0,0.333333333,8.38,4.01,14,19,5,8.28,2.64,0,0,1.67,1.88,0,8.336326363,3.9885951,8.235303653,2.622823747,0,0,1.663519996,1.875577408
Fos.K.12.292,50.95,1,1,10,9,0,0.333333333,7.35,2.47,14,19,5,6.99,2.73,0,0,1.92,1.73,0,7.773973737,2.616038759,7.408096803,2.928112794,0,0,2.00180947,1.774287821
Fos.K.12.296,47.83,3,1,10,9,4.16,1,7.97,8.87,14,19,5,7.47,2.67,0,0,2.61,1.63,4.509588595,8.949211133,9.987855597,8.422721803,3.08587972,0,0,2.845018697,1.717400025
Fos.K.12.298,NA,1,2,10,9,0,0.333333333,NA,2.18,14,19,5,NA,4.78,0,3.96,3,2.53,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fos.K.12.299,58.31,2.4,1,9,8,0,0.8,8.74,7.13,14,19,NA,8.26,2.54,0,0,NA,2.1,0,8.136052221,6.625773745,7.669494424,2.322664554,0,0,NA,2.033304798
Fos.K.12.302,70.55,2.6,1,11,9,0,0.866666667,9.92,13.23,14,19,5,10.71,4.26,0,0,2.53,1.66,0,7.710845222,10.22099298,8.250016109,3.109819058,0,0,2.097567313,1.48181288
Fos.K.12.303,72.65,1,1,9,9,0,0.333333333,9.89,1.69,14,19,5,NA,3.67,0,0,2.58,2.48,0,7.477075673,1.269031387,NA,2.587811894,0,0,2.095298389,2.186268163
Fos.K.12.308,48.41,1,1,10,9,0,0.333333333,7.38,1.3,14,18,5,NA,2.58,0,0,0.98,1.82,0,8.19273819,1.446831534,NA,2.939674594,0,0,1.05921703,1.907754281
Fos.K.12.311,44.52,1,1,9,8,0,0.333333333,7.52,1.89,14,19,6,7.34,2.53,0,0,1.71,1.72,0,9.036863295,2.281390638,8.878890305,3.182778728,0,0,1.9605142,1.868516787
Fos.K.12.314,52.77,1,1,11,9,0,0.333333333,8.1,1.79,NA,19,5,8.52,2.86,0,0,1.99,1.92,0,8.287356823,1.832420873,8.724225488,2.942875256,0,0,2.024147239,1.939891687
Fos.K.12.335,57.41,1,2,9,8,0,0.333333333,9.24,2.27,13,19,5,NA,2.88,0,3.35,2.32,1.5,0,8.729053295,2.141514712,NA,2.682447568,0,3.270164595,2.22385637,1.462028845
Fos.K.12.344,63.89,2,1,9,8,0,0.666666667,10.32,11.53,14,20,5,10.88,4.19,0,0,2.84,1.74,0,8.810946864,9.806291988,9.236528176,3.439122288,0,0,2.524846948,1.62032867
Fos.K.12.347,67.56,2.2,1,9,8,0,0.733333333,10.1,8.88,14,19,5,NA,3.54,0,0,2.34,1.68,0,8.17917572,7.154450649,NA,2.719955776,0,0,2.000108077,1.527624676
Fos.K.12.186,51.42,1,1,10,9,0,0.333333333,6.74,2.41,14,19,5,7.04,2.52,0,0,1.51,1.55,0,7.067109179,2.529873398,7.394229453,2.673692368,0,0,1.564193945,1.583465746
